ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
e6a4282a3e9d8d032b5d881584abf7844224b535a1065bd64713976b2ff7b8b7,https://www.snap.com/political-ads/asset/eeec18087c58a3a28d2b26aab7d0aecf46eff8d45436566d196dd480c0254a55?mediaType=png,USD,198,4731,2022/11/02 18:08:27Z,2022/11/09 05:59:00Z,Veracity Media,US,Angelo Santabarbara,Santabarbara for Assembly,,,,,,18+,united states,,,,,,,,,"12009,12010,12023,12053,12056,12059,12066,12068,12069,12070,12072,12086,12095,12122,12137,12147,12150,12157,12166,12177,12186,12193,12303,12304,12305,12306,12307,12308,13317,13320,13339,13410,13428,13452,13459",,,,,,Provided by Advertiser,,,,,
9c2a4c39a7e0ec833785ad374909831947c2a7ef903d5b6425af08fcefebe081,https://www.snap.com/political-ads/asset/bc2b0556fa168fadd3b74d2a56905798ada99d7fc9b380f232acedd53e8275be?mediaType=mp4,USD,462,5623,2022/09/12 16:31:54Z,2022/11/08 23:00:00Z,Wavelength Strategy,US,,Mark Kelly for Senate,,,,,,18+,united states,,,,,latitude 35.188526;longitude -111.654995;radius 4.0,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://markkelly.com/?utm_source=snap&utm_medium=paid
f2f2145b0178daebb98fbbe05dd6d14f2de1d432c6c4fbde616169b74cfd0c2d,https://www.snap.com/political-ads/asset/ca05ce0e3cb36de893af100de5a2c74b5e8599798b56bf21580b497c8c487b3b?mediaType=mp4,SEK,16416,47534,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
78cd7e82560c7bed8f85825e99083a450651e781381942b8da31ce97e2beb639,https://www.snap.com/political-ads/asset/d83c2a0949312a6779e7c238f4f31250350d9ea609b7c6d89ca0eee3ec18b8df?mediaType=png,CAD,900,40537,2022/10/03 14:00:47Z,2022/10/22 04:59:00Z,City of Winnipeg,"510 Main St.,Winnipeg,R3B 1B9,CA",City of Winnipeg Election 2022,City of Winnipeg,,,,,,18+,canada,,,,,,,Winnipeg,,,,,,,,Provided by Advertiser,en,,,,
ca97061b58c777da7c38d016cec41982334167841fe2ca642e2bfdab62dbae8a,https://www.snap.com/political-ads/asset/98071cda1ae81d9d09f8514769a92e8e27041fcbb7c9b042078f0633d2564db4?mediaType=png,USD,5,866,2022/02/15 14:00:10Z,2022/02/26 00:00:59Z,Sullivan Jones Senate Campaign,US,,Sullivan Jones Senate Campaign,,,,,,,united states,,,,,latitude 42.82265374498775;longitude -102.99943401405628;radius 1.58,,,,,,,,,,Provided by Advertiser,,,,,
4418ab70da59914809daae7eea9c109166a157472f552a22a286557164dfb243,https://www.snap.com/political-ads/asset/57432a5e9274533eeeecc4bf1bc856fa4e8208ee3cc16d6f2e9cc9580348aed9?mediaType=mp4,SEK,814,1038,2022/08/01 05:00:44Z,2022/08/07 21:59:00Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,Stockholms Lan,,,,,,,,,,,,"Political News Watchers,Parents & Family-Focused,Philanthropists,Wellness & Healthy Lifestyle",,Provided by Advertiser,,,,,web_view_url:https://handsoff.rfsu.se/
f3277c44dc5a7588604a5c2ccf348cdba4b3f32c2a653d015d9119aeafe5ffcc,https://www.snap.com/political-ads/asset/f8b9f2f8f908b023ee0080dee93840fb25da44bdd689fb16ff18d6898f5d2bff?mediaType=mp4,SEK,561,1757,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18-35,sweden,,,,,,,,,,,,,"Political News Watchers,Parents & Family-Focused,Philanthropists,Wellness & Healthy Lifestyle",,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
da48fb9911c31a458c2da0bdf632dda9e97f59a64a7f2de4bfec774733d61345,https://www.snap.com/political-ads/asset/19f3df4663f9150834b9fbe35d58dfb729fae098287171920227104bb056abb8?mediaType=mp4,USD,103,282,2022/11/01 17:38:35Z,2022/11/08 23:59:00Z,BerlinRosen,"15 Maiden Lane #16,New York,10038,US",,United We Dream Action,,,,,,18-35,united states,Arizona,,,,,,,,,,,,"Advocates & Activists,Mexican Food Shoppers,nln_7169,Latin Music Fans",,Provided by Advertiser,es,"Household Income: Under $50000,Household Income: $50000 - $99999",,,
9dab63d23a8967081853ad1862322692e017fba7adc15a9bed6eb1b00a1ca11e,https://www.snap.com/political-ads/asset/ca05ce0e3cb36de893af100de5a2c74b5e8599798b56bf21580b497c8c487b3b?mediaType=mp4,SEK,33936,55841,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18-35,sweden,,,,,,,,,,,,,"Political News Watchers,Parents & Family-Focused,Philanthropists,Wellness & Healthy Lifestyle",,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
78c442c1181963722ecc64f69cb48a314ab7d4f74990165855a98169e5eb1138,https://www.snap.com/political-ads/asset/201f4e8d347d1198d90e1bcc32222e197758e270cd671107cb7826e4136df764?mediaType=png,CAD,7,216,2022/09/27 15:36:51Z,2022/09/29 22:00:00Z,Cossette Media Inc,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",BVEE,Élection Québec,,,,,,18+,canada,,,,,"latitude 46.78094190346454;longitude -71.27570860053393;radius 1.2,latitude 45.503234500000005;longitude -73.6161915;radius 0.83,latitude 48.41898540569562;longitude -71.05210164335934;radius 0.46,latitude 45.905751;longitude -72.466871;radius 0.5,latitude 45.558723;longitude -73.720895;radius 0.5,latitude 45.525335;longitude -73.522688;radius 0.5,latitude 48.452869;longitude -68.512667;radius 0.5,latitude 45.364365;longitude -71.845291;radius 1.0,latitude 45.774787111284695;longitude -74.00303108090974;radius 0.2,latitude 45.378801;longitude -71.9276185;radius 1.0,latitude 46.350188;longitude -72.575704;radius 1.0,latitude 45.50463675;longitude -73.5763445;radius 0.5,latitude 46.813439;longitude -71.22535;radius 0.1,latitude 48.093045;longitude -77.787959;radius 0.5,latitude 48.099359510148275;longitude -77.78560610535139;radius 0.2,latitude 45.53718572536292;longitude -73.67529078863983;radius 0.4,latitude 45.512027;longitude -73.6721235;radius 0.5,latitude 45.516475949902286;longitude -73.676269631937;radius 0.3,latitude 45.60205;longitude -73.541673;radius 0.3,latitude 45.639045;longitude -74.350732;radius 0.5,latitude 46.061593;longitude -71.943022;radius 0.7,latitude 46.1310090465565;longitude -70.66125097057024;radius 0.7,latitude 45.25231407066326;longitude -74.13281945417003;radius 0.3,latitude 45.207984145453025;longitude -72.77192851973453;radius 0.7,latitude 46.379239;longitude -72.523315;radius 0.5,latitude 45.48241005090486;longitude -75.68398698154286;radius 0.3,latitude 46.863819;longitude -71.25589;radius 0.3,latitude 46.86134;longitude -71.261717;radius 0.4,latitude 45.344527;longitude -73.76787;radius 0.3,latitude 45.361971;longitude -73.732479;radius 0.1,latitude 46.836284;longitude -71.344867;radius 0.1,latitude 48.42315;longitude -71.052158;radius 0.3,latitude 48.420308;longitude -71.061953;radius 0.1,latitude 47.36756290255897;longitude -70.04052391059727;radius 0.1,latitude 45.488967;longitude -73.641429;radius 0.1,latitude 45.882114;longitude -72.49141;radius 0.1,latitude 50.227074;longitude -66.354666;radius 0.5,latitude 50.222464;longitude -66.363319;radius 0.1,latitude 48.834178;longitude -64.484948;radius 0.4,latitude 45.3992235597224;longitude -72.72999868671795;radius 0.2,latitude 45.380672;longitude -72.745186;radius 0.2,latitude 45.642461;longitude -73.842063;radius 0.5,latitude 45.550841;longitude -73.5543;radius 0.3,latitude 45.447611;longitude -75.736732;radius 0.1,latitude 45.4517;longitude -75.764789;radius 0.6,latitude 45.422472;longitude -75.738186;radius 0.4,latitude 45.428426;longitude -75.738307;radius 0.3,latitude 45.459292;longitude -75.769802;radius 0.4,latitude 45.40383;longitude -73.94322;radius 0.5,latitude 46.829931;longitude -71.227765;radius 0.3,latitude 46.786704;longitude -71.286959;radius 0.4,latitude 45.877622;longitude -72.501914;radius 0.2,latitude 45.87392496626654;longitude -72.50275733025128;radius 0.5,latitude 46.032397;longitude -73.421298;radius 0.5,latitude 46.02699;longitude -73.435402;radius 0.3,latitude 46.035837;longitude -73.457556;radius 0.5,latitude 48.41763;longitude -71.223274;radius 0.3,latitude 48.405822;longitude -71.247736;radius 0.3,latitude 46.558811;longitude -75.505422;radius 0.1,latitude 46.560616;longitude -75.507747;radius 0.1,latitude 48.545072;longitude -71.654551;radius 0.4,latitude 45.615831;longitude -73.609348;radius 0.7,latitude 45.493857;longitude -73.5087;radius 0.2,latitude 45.516351;longitude -73.52039;radius 0.2,latitude 45.40369;longitude -73.50457;radius 0.1,latitude 45.828739;longitude -73.420872;radius 0.3,latitude 45.530588;longitude -73.621045;radius 0.1,latitude 45.57175382011434;longitude -73.70268734630666;radius 0.2,latitude 46.574297;longitude -72.734012;radius 0.3,latitude 46.564126;longitude -72.7528;radius 0.3,latitude 45.711242;longitude -73.941883;radius 0.4,latitude 46.81799272408378;longitude -71.15064320430564;radius 0.4,latitude 46.80343488859958;longitude -71.17297825692857;radius 0.1,latitude 46.734431123665104;longitude -71.2669357230891;radius 0.1,latitude 46.79285299433772;longitude -71.16162515353274;radius 0.1,latitude 46.098457;longitude -71.324492;radius 0.3,latitude 46.736868;longitude -71.399553;radius 0.2,latitude 45.422806;longitude -73.61201;radius 0.1,latitude 45.436573;longitude -73.605819;radius 0.5,latitude 45.442041;longitude -73.711948;radius 0.2,latitude 48.840704;longitude -67.497451;radius 0.2,latitude 45.550873;longitude -73.632807;radius 0.2,latitude 45.5517595;longitude -73.6423275;radius 0.3,latitude 45.540622;longitude -73.578495;radius 0.2,latitude 45.530087;longitude -73.593674;radius 0.2,latitude 45.523793;longitude -73.586381;radius 0.1,latitude 45.599815;longitude -73.65253;radius 0.2,latitude 45.522794;longitude -73.61987;radius 0.1,latitude 45.483396;longitude -73.869284;radius 0.2,latitude 45.650611;longitude -73.498141;radius 0.3,latitude 49.186491;longitude -68.2625;radius 0.3,latitude 45.763453;longitude -73.433744;radius 0.3,latitude 46.01533;longitude -73.148862;radius 0.2,latitude 48.43258;longitude -68.523943;radius 0.2,latitude 48.44817819725088;longitude -68.52775903478683;radius 0.2,latitude 47.827058;longitude -69.538705;radius 0.2,latitude 47.82908497801168;longitude -69.53710054456056;radius 0.1,latitude 48.64978243990569;longitude -72.45858296440719;radius 0.2,latitude 45.560529;longitude -73.577247;radius 0.1,latitude 45.559474;longitude -73.583278;radius 0.1,latitude 45.55704866277168;longitude -73.58188653756353;radius 0.2,latitude 48.22889238383965;longitude -79.0071441923601;radius 0.1,latitude 45.422695;longitude -71.877789;radius 0.3,latitude 45.410284509731866;longitude -71.88633495394937;radius 0.3,latitude 45.49434907846978;longitude -73.5626867937252;radius 0.3,latitude 45.477887;longitude -73.587373;radius 0.2,latitude 45.643859;longitude -72.953593;radius 0.2,latitude 45.617841341058295;longitude -72.9706923748566;radius 0.7,latitude 45.2974900777329;longitude -73.26896982360213;radius 0.3,latitude 45.302199;longitude -73.25696;radius 0.1,latitude 45.33306;longitude -73.276769;radius 0.2,latitude 45.779602;longitude -73.999315;radius 0.2,latitude 45.77038;longitude -74.03122;radius 0.2,latitude 45.496898;longitude -73.703015;radius 0.1,latitude 45.506471;longitude -73.703333;radius 0.2,latitude 45.506029;longitude -73.554723;radius 0.1,latitude 45.517761;longitude -73.568756;radius 0.1,latitude 45.514427;longitude -73.566167;radius 0.1,latitude 45.529709;longitude -73.557247;radius 0.2,latitude 45.587835;longitude -73.738079;radius 0.1,latitude 45.60417795272721;longitude -73.78349951422567;radius 0.3,latitude 45.400015;longitude -71.898096;radius 0.1,latitude 45.535175;longitude -73.464779;radius 0.3,latitude 45.535943;longitude -73.493944;radius 0.3,latitude 46.796375;longitude -71.233402;radius 0.1,latitude 46.811492;longitude -71.217016;radius 0.1,latitude 46.813874;longitude -71.222665;radius 0.1,latitude 46.805341;longitude -71.252259;radius 0.1,latitude 46.814032;longitude -71.206478;radius 0.1,latitude 46.816956;longitude -71.236186;radius 0.2,latitude 46.79328292148;longitude -71.26383766125663;radius 0.3,latitude 45.720901;longitude -73.705654;radius 0.3,latitude 45.723112;longitude -73.704609;radius 0.1,latitude 46.359278;longitude -72.567919;radius 0.1,latitude 45.522531495768874;longitude -73.42039099635215;radius 0.1,latitude 46.821008;longitude -71.248678;radius 0.1,latitude 46.818821;longitude -71.251406;radius 0.1,latitude 45.393752;longitude -74.028078;radius 0.3,latitude 45.576265;longitude -73.305768;radius 0.1,latitude 45.48091;longitude -73.611945;radius 0.2,latitude 45.489341;longitude -73.58711;radius 0.2,latitude 45.495312416143776;longitude -73.5784162578168;radius 0.2,latitude 45.496874;longitude -73.578113;radius 0.2,latitude 45.50728;longitude -73.568271;radius 0.1,latitude 45.509540569478276;longitude -73.56940329153406;radius 0.1,latitude 45.50971594705797;longitude -73.5817794581163;radius 0.3",,,,,,,,,,Provided by Advertiser,fr,,,,
ad8aa19c36c5db238f2037a5b804e96dbdcb1fa65ff0ac1dde8d8158a560aa2c,https://www.snap.com/political-ads/asset/19f3df4663f9150834b9fbe35d58dfb729fae098287171920227104bb056abb8?mediaType=mp4,USD,2,2,2022/10/30 13:00:00Z,2022/10/31 03:59:00Z,BerlinRosen,"15 Maiden Lane #16,New York,10038,US",,United We Dream Action,,,,,,17+,united states,,,,,latitude 29.568841;longitude -97.964727;radius 5.0,,,,,,,,,,Provided by Advertiser,,,,,
157701abfbd7e4d97462a688b2ab8702d21b82b9611aa8d1c747cec8451f376b,https://www.snap.com/political-ads/asset/e3cd0a1689da49b0dea64492df5abd150f046b505439ea7ba6bcebf8a5404aae?mediaType=png,USD,191,7449,2022/11/02 17:55:20Z,2022/11/09 05:59:00Z,Veracity Media,US,Billy Jones,Friends of Billy Jones,,,,,,18+,united states,,,,,,,,,"12847,12901,12903,12910,12911,12912,12913,12914,12916,12917,12918,12919,12920,12921,12922,12923,12924,12926,12929,12930,12933,12934,12935,12937,12939,12944,12945,12952,12953,12955,12957,12958,12959,12962,12965,12966,12967,12969,12970,12972,12973,12976,12978,12979,12980,12981,12983,12985,12986,12989,12992,13613,13655,13662,13672,13676,13697",,,,,,Provided by Advertiser,,,,,
4599b4d4b5c25be84f0ed634f9b4a5d6a85c4d9572fb67d8e180dbe7a1f91386,https://www.snap.com/political-ads/asset/60e56cf52fd26adba302ddd243d17c7c6146d6797bdabdd5e5a8c3a1bc6b43cc?mediaType=png,USD,51,44182,2022/09/12 18:05:44Z,2022/09/24 20:59:44Z,BlueAce,KW,,Blue Ace Media 2022,,,,,,,kuwait,"Hawalli,Al Kuwayt",,,,,,,,,,,,,,Provided by Advertiser,"ar,en",,,,
56aefc785f7a9fc235560be6df043b83d0179a35d18068e0329e61247901a397,https://www.snap.com/political-ads/asset/fa3b4385aab39854399319f12e3ebae66500da06ceb2fb6b0d10fd87a2d6b187?mediaType=mp4,SEK,1486,1579,2022/08/01 05:00:44Z,2022/08/07 21:59:00Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,Stockholms Lan,,,,,,,,,,,,"Political News Watchers,Parents & Family-Focused,Philanthropists,Wellness & Healthy Lifestyle",,Provided by Advertiser,,,,,web_view_url:https://handsoff.rfsu.se/
9f8d329659c1799cd2a9ae3bd186f89b0ca7dd8d48ca6910369ede8378c9e23a,https://www.snap.com/political-ads/asset/97519ecafcf92ae8f5976500314d75ab41e25b2c70c47e233f2568fa181a7e44?mediaType=png,AUD,10000,1168691,2022/05/08 23:00:00Z,2022/05/20 13:59:59Z,Australian Government Department of Finance,"100 Chalmers Street,Surry Hills,2010,AU",,Australian Electoral Commission,,,,,,18-24,australia,,,,,,,,,,,,,,,Provided by Advertiser,,,,,
fa59bc871c7a1231ce1a230695755704e6468d1bb8c6992cbb935ed17f595a29,https://www.snap.com/political-ads/asset/98071cda1ae81d9d09f8514769a92e8e27041fcbb7c9b042078f0633d2564db4?mediaType=png,USD,0,1,2022/02/15 15:36:07Z,2022/02/17 06:59:59Z,Sullivan Jones Senate Campaign,US,,Sullivan Jones Senate Campaign,,,,,,,united states,,,,,latitude 42.82265374498775;longitude -102.99943401405628;radius 1.58,,,,,,,,,,Provided by Advertiser,,,,,
777fed6099d7ead419162371f1355ade2a51e046658c33c1e96eab10f198de06,https://www.snap.com/political-ads/asset/b32291b67ba484a480dca84589869d475d2c08d07da258805b6e22a733fed0f4?mediaType=mp4,USD,1788,9,2022/10/25 15:30:00Z,2022/11/08 23:00:00Z,Wavelength Strategy,US,,Mark Kelly for Senate,,,,,,18+,united states,Arizona,,,,,,,,,,,,"targetsmart_01,targetsmart_02,targetsmart_03,targetsmart_05,targetsmart_06,targetsmart_08,targetsmart_09,targetsmart_11,targetsmart_12,targetsmart_13,targetsmart_14,targetsmart_17,targetsmart_19,targetsmart_20",,Provided by Advertiser,,,,,
410579cc950cc48174ab7bc7404195f366bbd32abaeb91c635d7c47d251ca50b,https://www.snap.com/political-ads/asset/eb5d1f0d77aa8d6f82473a9ad5eb48170b5c7579fcc86bbb8d91b5a509a786c8?mediaType=mp4,SEK,1007,4452,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
9cf5506f3e631ca5eef55892eeea53c6eb3179439c5ec094f00dfe87c84f9f37,https://www.snap.com/political-ads/asset/723ee82962ab095c79af8222addf832ef0283bbc4af405f20ca07c395b205721?mediaType=png,USD,40,1739,2022/11/08 07:00:21Z,2022/11/09 00:00:00Z,Veracity Media,US,Voter Action Project,Voter Action Project,,,,,FEMALE,18-39,united states,Nevada,,,,,,,,,,,,,,Provided by Advertiser,en,,,,
2a63f20ce53080e11de44b4248d5b73e846888c1da76c5f0027d7b88f07231b8,https://www.snap.com/political-ads/asset/ca05ce0e3cb36de893af100de5a2c74b5e8599798b56bf21580b497c8c487b3b?mediaType=mp4,SEK,8389,38046,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
c40294aaf49317314a31029bea80a048ef8ed8d5374ce6352011e96f7de33fbb,https://www.snap.com/political-ads/asset/60d27cf3098ab3b181f402af77315e9cfdfe253827928221eccc21d130d3a240?mediaType=mp4,AUD,50000,126073,2022/04/11 23:00:00Z,2022/04/18 06:00:00Z,Australian Government Department of Finance,"100 Chalmers Street,Surry Hills,2010,AU",,Australian Electoral Commission,,,,,,18-24,australia,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.aec.gov.au/
fe294c882f5945dff0537bbe3a6ce7d88506d84cccde13571e9803992b0b50db,https://www.snap.com/political-ads/asset/184d5321d4b26bfaf383add24d18fe6e20ae634053ac08b3ec2d6ecc7a6a48fe?mediaType=mp4,SEK,1425,1150,2022/08/01 05:00:44Z,2022/08/07 21:59:00Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,Stockholms Lan,,,,,,,,,,,,"Political News Watchers,Parents & Family-Focused,Philanthropists,Wellness & Healthy Lifestyle",,Provided by Advertiser,,,,,web_view_url:https://handsoff.rfsu.se/
3293280531c86ef6df4d1bbf367fee91ea90aefbd186a4ca0279d79c38f198cb,https://www.snap.com/political-ads/asset/6c910084344be31f7c4f4b9d028018f2a9653a76a8f5bb10d62bf40a681cb117?mediaType=png,NOK,18333,158292,2022/03/03 14:59:05Z,2022/03/21 22:59:59Z,"Mindshare Norway AS ","Kongens gate 6,Oslo,0153,NO",,Røde Kors,,,,,,18+,norway,,,,,,,,,,,,,,,Provided by Advertiser,,,,,
bcf37c47bf84f7ea580a48f07c53387247f4657a548adde394bd8bfcbae90478,https://www.snap.com/political-ads/asset/9d65abc56a908e0fd7a5dcf38cb560e2fbca0e53d5bdea7823c19ff4ecaa1c77?mediaType=mp4,NOK,18333,67249,2022/03/03 08:45:05Z,2022/03/21 22:59:59Z,"Mindshare Norway AS ","Kongens gate 6,Oslo,0153,NO",,Røde Kors,,,,,,18+,norway,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.rodekors.no/nodhjelp-til-ukraina/?utm_source=Snapchat&utm_medium=social&utm_campaign=ukraina_nodhjelp
